model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_type
 Mondeo,2015,9140,Manual,53702,Diesel,0,78.5,1.6,ford
 A5,2017,24490,Automatic,13425,Diesel,150,62.8,2.0,audi
 A6,2019,31950,Semi-Auto,150,Diesel,145,47.9,2.0,audi
 I10,2017,7695,Manual,7913,Petrol,20,60.1,1.0,hyundi
 Auris,2013,13000,Automatic,34000,Hybrid,0,72.4,1.8,toyota
 Q5,2019,35498,Semi-Auto,10,Petrol,145,32.1,2.0,audi
 Octavia,2018,13000,Manual,12363,Petrol,145,57.7,1.5,skoda
 Fiesta,2017,8490,Manual,30178,Petrol,145,64.2,1.1,ford
 Santa Fe,2017,21499,Semi-Auto,28847,Diesel,240,42.8,2.2,hyundi
 Q3,2017,22950,Automatic,22036,Petrol,145,47.9,1.4,audi
 Focus,2017,10490,Manual,21044,Petrol,145,61.4,1.0,ford
 Focus,2015,6250,Manual,111000,Diesel,0,74.3,1.5,ford
 Aygo,2019,9995,Manual,25,Petrol,145,56.5,1.0,toyota
 GLC Class,2015,19500,Automatic,66160,Diesel,125,56.5,2.1,merc
 Yaris,2015,6999,Manual,40215,Petrol,30,58.0,1.3,toyota
 Grand C-MAX,2017,10998,Manual,12360,Diesel,30,64.2,1.5,ford
 Kuga,2018,17998,Manual,12305,Petrol,150,45.6,1.5,ford
 Fiesta,2018,12250,Manual,14401,Petrol,150,65.7,1.0,ford
 Yaris,2015,10498,Automatic,29311,Hybrid,0,78.0,1.5,toyota
 RS4,2018,52495,Semi-Auto,12000,Petrol,145,32.1,2.9,audi
 Kuga,2018,17997,Manual,3584,Diesel,145,47.9,2.0,ford
 Focus,2016,10695,Manual,19518,Diesel,0,74.3,1.5,ford
 TT,2019,29000,Automatic,4690,Petrol,145,38.7,2.0,audi
 3 Series,2015,20000,Semi-Auto,39700,Diesel,160,50.4,3.0,bmw
 I30,2019,15160,Manual,1913,Diesel,145,60.1,1.6,hyundi
 Aygo,2018,7901,Manual,10437,Petrol,150,56.5,1.0,toyota
 C Class,2017,22792,Semi-Auto,11163,Petrol,145,48.7,2.0,merc
 Yaris,2017,8995,Manual,15500,Petrol,30,58.0,1.3,toyota
 4 Series,2014,13950,Semi-Auto,24649,Petrol,160,44.8,2.0,bmw
 Q3,2020,34995,Semi-Auto,5000,Diesel,145,47.1,2.0,audi
 Kuga,2017,11250,Manual,22989,Diesel,30,64.2,1.5,ford
 C Class,2018,28399,Automatic,3438,Petrol,145,44.1,2.0,merc
 X1,2017,20990,Semi-Auto,25013,Diesel,145,57.6,2.0,bmw
 5 Series,2019,29000,Semi-Auto,4727,Diesel,145,62.8,2.0,bmw
 GLE Class,2019,54900,Automatic,5000,Petrol,150,29.5,3.0,merc
 Auris,2018,11995,Manual,17234,Petrol,150,58.9,1.2,toyota
 E Class,2019,23690,Semi-Auto,14295,Diesel,145,72.4,2.0,merc
 Santa Fe,2019,32495,Semi-Auto,2880,Diesel,145,39.8,2.2,hyundi
 A4,2019,29490,Automatic,4000,Diesel,145,47.9,2.0,audi
 1 Series,2019,20875,Semi-Auto,4834,Diesel,145,67.3,2.0,bmw
 Fiesta,2016,9699,Manual,15323,Petrol,0,65.7,1.0,ford
 E Class,2017,28012,Semi-Auto,11340,Petrol,145,40.4,2.0,merc
 B-MAX,2017,9500,Manual,13909,Diesel,145,74.3,1.5,ford
 Corolla,2019,16790,Manual,97,Petrol,145,39.2,1.2,toyota
 Grand C-MAX,2017,12450,Manual,10546,Petrol,145,54.3,1.0,ford
 2 Series,2019,22950,Semi-Auto,3660,Diesel,145,61.4,2.0,bmw
 Q5,2018,27777,Semi-Auto,13199,Diesel,145,55.4,2.0,audi
 5 Series,2012,11990,Automatic,84000,Diesel,165,51.4,3.0,bmw
 X5,2018,34650,Automatic,15245,Diesel,150,47.1,3.0,bmw
 GLA Class,2017,18480,Semi-Auto,43375,Diesel,145,56.5,2.1,merc
 Yaris,2016,7498,Manual,15203,Petrol,0,66.0,1.0,toyota
 Fiesta,2017,10260,Manual,12588,Petrol,145,65.7,1.0,ford
 Z4,2019,28450,Semi-Auto,5340,Petrol,145,38.2,2.0,bmw
 Land Cruiser,2020,52990,Automatic,1244,Diesel,145,30.1,2.8,toyota
 C-HR,2018,22000,Automatic,8813,Hybrid,135,74.3,1.8,toyota
 Q5,2020,34890,Automatic,4521,Diesel,145,38.2,2.0,audi
 5 Series,2020,31990,Semi-Auto,10,Petrol,145,50.4,2.0,bmw
 Ioniq,2018,17750,Semi-Auto,6897,Hybrid,135,78.5,1.6,hyundi
 Yaris,2016,9680,Manual,11833,Petrol,30,55.0,1.3,toyota
 Octavia,2018,15000,Automatic,20813,Petrol,145,55.4,1.5,skoda
 Fiesta,2017,9491,Manual,29743,Petrol,145,65.7,1.0,ford
 Aygo,2015,6750,Manual,33365,Petrol,0,69.0,1.0,toyota
 I30,2017,9990,Manual,41477,Diesel,145,74.3,1.6,hyundi
 A1,2016,11999,Manual,48090,Petrol,30,55.4,1.4,audi
 Fiesta,2019,17995,Manual,4409,Petrol,145,60.1,1.0,ford
 C Class,2019,19980,Semi-Auto,13936,Petrol,145,46.3,1.5,merc
 Fiesta,2018,11000,Manual,7452,Petrol,145,65.7,1.0,ford
 1 Series,2013,10000,Automatic,60260,Diesel,30,64.2,2.0,bmw
 GLA Class,2016,15000,Manual,29774,Diesel,20,67.3,2.1,merc
 5 Series,2015,13490,Automatic,47000,Diesel,30,62.8,2.0,bmw
 EcoSport,2019,17400,Automatic,1872,Petrol,145,44.1,1.0,ford
 Mondeo,2015,6793,Manual,138000,Diesel,20,68.9,2.0,ford
 GLA Class,2018,32000,Semi-Auto,2752,Petrol,145,38.2,2.0,merc
 Fabia,2017,9200,Manual,22000,Petrol,145,64.2,1.0,skoda
 TT,2016,16490,Manual,40601,Diesel,30,61.4,2.0,audi
 3 Series,2019,26998,Semi-Auto,13268,Diesel,145,48.7,2.0,bmw
 Auris,2018,14900,Automatic,36376,Hybrid,135,65.6,1.8,toyota
 EcoSport,2020,16690,Manual,151,Petrol,145,53.3,1.0,ford
 C Class,2017,25248,Automatic,24003,Petrol,200,40.9,2.0,merc
 GLC Class,2016,22248,Automatic,32726,Diesel,125,56.5,2.1,merc
 Q7,2020,46990,Automatic,5000,Diesel,145,33.6,3.0,audi
 X5,2016,31929,Automatic,25701,Diesel,200,47.1,3.0,bmw
 Aygo,2017,7000,Manual,18378,Petrol,145,69.0,1.0,toyota
 C Class,2020,30500,Semi-Auto,199,Diesel,145,64.2,2.0,merc
 Q5,2019,57895,Automatic,1255,Diesel,145,32.5,3.0,audi
 Focus,2019,15080,Manual,12691,Diesel,145,80.7,1.5,ford
 Auris,2016,8990,Manual,23567,Diesel,20,67.3,1.6,toyota
 CL Class,2015,16600,Automatic,19380,Diesel,20,67.3,2.1,merc
 1 Series,2019,15950,Manual,8004,Petrol,150,53.3,1.5,bmw
 Fabia,2019,12250,Manual,5036,Petrol,145,61.4,1.0,skoda
 X3,2016,20991,Semi-Auto,28737,Diesel,150,54.3,2.0,bmw
 Yeti Outdoor,2017,11995,Manual,20500,Diesel,150,62.8,2.0,skoda
 Q5,2015,22798,Semi-Auto,56960,Diesel,260,41.5,3.0,audi
 C-MAX,2019,15000,Semi-Auto,4590,Petrol,145,37.2,1.5,ford
 Galaxy,2019,26495,Automatic,8156,Diesel,145,54.3,2.0,ford
 A3,2016,14050,Semi-Auto,74904,Diesel,125,57.6,2.0,audi
 Aygo,2019,8690,Manual,2438,Petrol,145,56.5,1.0,toyota
 I30,2017,10995,Manual,11249,Petrol,30,56.5,1.0,hyundi
 A4,2019,22690,Manual,6995,Petrol,145,39.2,2.0,audi
 4 Series,2019,23270,Automatic,5865,Petrol,145,48.7,2.0,bmw
 I10,2018,6865,Manual,30360,Petrol,145,60.1,1.0,hyundi
 Kuga,2017,15575,Manual,19794,Diesel,125,60.1,2.0,ford
 Kuga,2018,15721,Manual,17881,Petrol,145,45.6,1.5,ford
 C Class,2019,27698,Semi-Auto,14999,Diesel,145,55.4,2.0,merc
 Kuga,2016,12250,Manual,29347,Diesel,125,60.1,2.0,ford
 Kuga,2019,24990,Manual,3533,Petrol,145,35.3,1.5,ford
 C-MAX,2016,10400,Manual,23512,Diesel,30,64.2,2.0,ford
 Fiesta,2019,11498,Manual,14604,Petrol,145,58.9,1.0,ford
 Fiesta,2018,10500,Manual,7555,Petrol,145,65.7,1.0,ford
 Aygo,2017,7380,Manual,22314,Petrol,0,68.9,1.0,toyota
 Octavia,2017,10995,Manual,24990,Petrol,30,55.4,1.4,skoda
 A6,2019,46850,Automatic,3008,Diesel,145,37.7,3.0,audi
 A6,2019,30470,Automatic,11922,Diesel,145,47.9,2.0,audi
 I10,2009,4495,Automatic,59000,Petrol,140,47.9,1.2,hyundi
 Q5,2018,37495,Semi-Auto,19443,Petrol,145,34.0,3.0,audi
 Fiesta,2013,7250,Manual,33000,Diesel,0,76.4,1.5,ford
 A8,2020,49800,Automatic,3452,Diesel,145,39.2,3.0,audi
 Fiesta,2014,5495,Manual,55259,Petrol,30,54.3,1.2,ford
 Kuga,2018,16998,Manual,13737,Diesel,145,64.2,1.5,ford
 CL Class,2019,29299,Semi-Auto,2914,Petrol,145,39.8,2.0,merc
 Fabia,2019,12990,Manual,3000,Petrol,145,51.4,1.0,skoda
 C Class,2019,24499,Semi-Auto,14525,Petrol,145,44.1,1.5,merc
 3 Series,2018,19785,Semi-Auto,30187,Diesel,145,62.8,2.0,bmw
 I10,2017,7101,Manual,1847,Petrol,20,60.1,1.0,hyundi
 Fiesta,2019,14410,Manual,3650,Petrol,145,58.9,1.0,ford
 X2,2020,23990,Semi-Auto,1576,Petrol,150,38.7,2.0,bmw
 X1,2019,22442,Manual,3991,Petrol,145,51.4,1.5,bmw
 A Class,2016,13499,Manual,19043,Diesel,20,72.4,1.5,merc
 Focus,2019,15990,Manual,10865,Petrol,145,60.1,1.0,ford
 Kuga,2019,19799,Manual,7519,Petrol,145,35.3,1.5,ford
 Fiesta,2019,13140,Manual,5211,Petrol,145,48.7,1.1,ford
 C-MAX,2017,11591,Manual,17350,Diesel,20,68.9,1.5,ford
 Corolla,2020,27995,Automatic,2500,Hybrid,135,53.3,2.0,toyota
 Fiesta,2017,9990,Manual,13051,Petrol,145,65.7,1.0,ford
 GLS Class,2019,47980,Semi-Auto,9977,Diesel,145,37.2,3.0,merc
 Focus,2017,11798,Manual,15417,Diesel,0,74.3,1.5,ford
 Q2,2019,27900,Manual,7392,Petrol,145,39.2,1.5,audi
 A5,2017,19450,Semi-Auto,61612,Diesel,145,62.8,2.0,audi
 Kuga,2017,15250,Manual,46800,Diesel,150,54.3,2.0,ford
 Galaxy,2014,10650,Manual,33026,Diesel,150,52.3,1.6,ford
 A Class,2017,17295,Automatic,15686,Petrol,145,53.3,1.6,merc
 A4,2017,20000,Manual,11966,Petrol,145,51.4,1.4,audi
 Kuga,2015,9499,Manual,67947,Diesel,125,60.1,2.0,ford
 5 Series,2019,31444,Automatic,2404,Diesel,145,65.7,2.0,bmw
 A3,2019,19111,Semi-Auto,10325,Diesel,150,54.3,1.6,audi
 3 Series,2016,12400,Manual,34657,Diesel,20,68.9,2.0,bmw
 A6,2019,49990,Automatic,6000,Diesel,145,35.8,3.0,audi
 Q5,2020,60000,Semi-Auto,7499,Diesel,145,32.5,3.0,audi
 I10,2017,8989,Manual,6787,Petrol,145,57.7,1.2,hyundi
 Tucson,2015,10795,Manual,29660,Petrol,160,44.8,1.6,hyundi
 C Class,2017,22995,Semi-Auto,21590,Petrol,145,47.1,2.0,merc
 GLA Class,2020,27480,Semi-Auto,864,Petrol,145,37.2,1.6,merc
 Auris,2017,17499,Automatic,23780,Hybrid,0,70.6,1.8,toyota
 Focus,2018,14495,Manual,9321,Petrol,145,57.7,1.0,ford
 Q2,2017,17481,Semi-Auto,23496,Petrol,145,54.3,1.4,audi
 E Class,2019,28980,Semi-Auto,3449,Diesel,145,61.4,2.0,merc
 A5,2019,37020,Automatic,20091,Petrol,145,38.7,2.0,audi
 Kodiaq,2019,25226,Manual,15,Diesel,150,42.2,2.0,skoda
 Fiesta,2019,12500,Manual,7808,Petrol,145,65.7,1.0,ford
 GLE Class,2017,29698,Semi-Auto,22052,Diesel,200,47.9,2.1,merc
 Galaxy,2017,21500,Semi-Auto,11348,Diesel,145,52.3,2.0,ford
 Q2,2017,21000,Semi-Auto,19422,Diesel,150,57.7,2.0,audi
 B Class,2019,21599,Semi-Auto,14206,Petrol,145,45.6,1.3,merc
 Prius,2017,19689,Automatic,34885,Hybrid,0,85.6,1.8,toyota
 X3,2019,32376,Automatic,2489,Diesel,145,54.3,2.0,bmw
 X2,2020,33940,Automatic,2182,Petrol,145,34.0,2.0,bmw
 CLS Class,2016,18900,Automatic,54195,Diesel,165,49.6,3.0,merc
 Prius,2018,18150,Automatic,59191,Other,135,235.0,1.8,toyota
 S-MAX,2015,14995,Semi-Auto,30702,Diesel,145,52.3,2.0,ford
 I20,2019,11470,Manual,6305,Petrol,150,47.9,1.0,hyundi
 B Class,2019,23480,Automatic,10,Diesel,145,55.4,2.0,merc
 C Class,2019,24980,Semi-Auto,6894,Petrol,145,45.6,1.5,merc
 B Class,2012,7499,Automatic,57386,Diesel,125,64.2,1.8,merc
 C Class,2019,24648,Semi-Auto,10651,Diesel,145,60.1,2.1,merc
 Mondeo,2017,15995,Automatic,20397,Petrol,145,44.8,1.5,ford
 C-HR,2018,23495,Automatic,7733,Hybrid,135,74.3,1.8,toyota
 A3,2017,17995,Manual,42101,Diesel,145,68.9,1.6,audi
 Fabia,2017,9500,Semi-Auto,17131,Petrol,145,61.4,1.0,skoda
 X3,2019,33988,Automatic,7765,Diesel,145,54.3,2.0,bmw
 Focus,2019,14498,Manual,12739,Petrol,145,58.9,1.0,ford
 A1,2016,11495,Manual,32867,Petrol,0,67.3,1.0,audi
 Fiesta,2017,9479,Manual,43786,Petrol,0,65.7,1.0,ford
 M4,2019,45999,Automatic,99,Petrol,145,34.0,3.0,bmw
 Yeti Outdoor,2016,12290,Manual,45127,Diesel,150,55.4,2.0,skoda
 Fiesta,2019,12600,Manual,16879,Petrol,145,56.5,1.0,ford
 Focus,2016,12792,Manual,29229,Diesel,20,67.3,2.0,ford
 Getz,2003,2395,Automatic,59000,Petrol,260,37.2,1.3,hyundi
 Yaris,2017,13995,Automatic,19280,Hybrid,0,78.0,1.5,toyota
 Yaris,2013,8592,Automatic,41480,Hybrid,0,80.7,1.5,toyota
 A Class,2019,23990,Automatic,2875,Petrol,145,53.3,1.3,merc
 I30,2019,17480,Manual,2244,Petrol,145,42.2,1.4,hyundi
 Q5,2019,35990,Automatic,5000,Diesel,145,38.2,2.0,audi
 Q2,2019,22490,Manual,8752,Petrol,145,39.2,1.5,audi
 Fiesta,2018,12495,Manual,17900,Petrol,145,56.5,1.0,ford
 Grand C-MAX,2015,8879,Manual,33746,Diesel,125,60.1,1.6,ford
 E Class,2019,37399,Semi-Auto,3682,Diesel,145,57.7,2.0,merc
 Focus,2017,10650,Manual,13980,Petrol,145,61.4,1.0,ford
 A4,2018,18995,Manual,14912,Petrol,145,51.4,1.4,audi
 IX35,2014,9800,Manual,35541,Diesel,145,53.3,1.7,hyundi
 X-CLASS,2019,24945,Automatic,500,Diesel,260,35.8,2.3,merc
 Yaris,2015,9975,Automatic,29001,Hybrid,0,86.0,1.5,toyota
 RAV4,2016,20444,Automatic,16745,Hybrid,20,57.6,2.5,toyota
 Z4,2011,12995,Manual,26000,Petrol,300,33.2,2.5,bmw
 RAV4,2016,19490,Automatic,32311,Hybrid,20,57.6,2.5,toyota
 C Class,2019,25499,Semi-Auto,15414,Diesel,145,61.4,2.0,merc
 Aygo,2017,5998,Manual,30031,Petrol,0,69.0,1.0,toyota
 Mondeo,2015,12941,Manual,10599,Petrol,145,48.7,1.5,ford
 Fiesta,2017,11000,Manual,10914,Petrol,145,65.7,1.0,ford
 A3,2015,9989,Manual,55122,Diesel,0,83.1,1.6,audi
 Tucson,2017,14495,Manual,14513,Diesel,30,61.7,1.7,hyundi
 A6,2016,17498,Semi-Auto,62000,Diesel,30,61.4,2.0,audi
 A Class,2017,31112,Semi-Auto,14687,Petrol,145,40.9,2.0,merc
 Kuga,2015,9799,Semi-Auto,65000,Diesel,150,52.3,2.0,ford
 EcoSport,2018,12899,Manual,14877,Diesel,145,68.9,1.5,ford
 Focus,2018,18998,Manual,10901,Petrol,145,41.5,2.0,ford
 Yaris,2019,10660,Manual,7869,Petrol,145,47.9,1.5,toyota
 3 Series,2016,12999,Manual,52224,Diesel,125,62.8,2.0,bmw
 X1,2014,9990,Automatic,68000,Diesel,145,56.5,2.0,bmw
 Tucson,2016,11490,Manual,52549,Diesel,30,61.7,1.7,hyundi
 S-MAX,2016,15895,Manual,34754,Diesel,125,56.5,2.0,ford
 A Class,2019,28490,Automatic,5064,Diesel,145,56.5,2.0,merc
 S Class,2019,87478,Semi-Auto,1257,Petrol,145,34.0,4.0,merc
 5 Series,2013,10750,Automatic,78500,Diesel,125,57.6,2.0,bmw
 Aygo,2019,9995,Manual,6562,Petrol,145,56.5,1.0,toyota
 I20,2017,9295,Manual,13582,Petrol,145,62.8,1.0,hyundi
 1 Series,2017,13798,Manual,34446,Diesel,145,65.7,2.0,bmw
 A7,2016,19990,Automatic,48669,Diesel,125,61.4,3.0,audi
 C Class,2017,17990,Automatic,37000,Diesel,30,64.2,2.1,merc
 Tucson,2017,13970,Manual,12287,Petrol,160,44.8,1.6,hyundi
 Focus,2019,17270,Manual,5250,Petrol,145,60.1,1.0,ford
 I30,2017,10999,Manual,18539,Diesel,145,78.4,1.6,hyundi
 Focus,2016,10491,Manual,30970,Diesel,0,74.3,1.5,ford
 EcoSport,2016,8680,Manual,23919,Diesel,30,64.2,1.5,ford
 EcoSport,2017,10498,Manual,16064,Petrol,125,52.3,1.0,ford
 Kuga,2017,14292,Manual,19674,Petrol,160,45.6,1.5,ford
 Octavia,2019,12990,Manual,13797,Diesel,145,68.9,1.6,skoda
 Galaxy,2016,17960,Manual,28402,Diesel,125,56.5,2.0,ford
 Fiesta,2017,9420,Manual,26391,Diesel,0,88.3,1.5,ford
 Auris,2017,14999,Automatic,14899,Hybrid,135,78.5,1.8,toyota
 TT,2010,7995,Manual,91450,Diesel,145,53.3,2.0,audi
 Ka+,2018,7623,Manual,10006,Petrol,145,57.7,1.2,ford
 Yaris,2019,13810,Automatic,3768,Hybrid,135,76.3,1.5,toyota
 GLA Class,2019,23199,Semi-Auto,14858,Diesel,145,67.3,2.1,merc
 A7,2019,31210,Semi-Auto,3130,Diesel,145,48.7,2.0,audi
 Fiesta,2018,10895,Manual,8565,Petrol,145,55.4,1.1,ford
 Edge,2018,25995,Automatic,11170,Diesel,145,47.9,2.0,ford
 EcoSport,2017,9599,Manual,23319,Diesel,30,64.2,1.5,ford
 A1,2017,14750,Manual,24500,Petrol,145,55.4,1.4,audi
 E Class,2017,20980,Semi-Auto,32106,Diesel,145,65.7,2.0,merc
 Fiesta,2013,5995,Manual,46028,Petrol,30,54.3,1.2,ford
 Fabia,2019,12450,Manual,1234,Petrol,145,51.4,1.0,skoda
 Focus,2015,7990,Manual,55000,Diesel,0,74.3,1.5,ford
 Fabia,2018,7995,Manual,12640,Petrol,145,57.7,1.0,skoda
 Fabia,2017,10495,Manual,8127,Petrol,20,58.8,1.2,skoda
 S-MAX,2006,2995,Manual,111000,Diesel,200,45.6,1.8,ford
 E Class,2019,32480,Automatic,10030,Diesel,145,51.4,3.0,merc
 Focus,2019,19898,Automatic,4166,Diesel,145,64.2,2.0,ford
 Kuga,2015,14000,Manual,51279,Diesel,145,54.3,2.0,ford
 C Class,2019,24748,Automatic,13479,Petrol,145,47.1,1.5,merc
 Focus,2014,7800,Manual,30500,Diesel,20,67.3,1.6,ford
 CL Class,2019,22000,Semi-Auto,20358,Diesel,145,51.4,2.2,merc
 E Class,2015,20480,Automatic,41964,Diesel,160,51.4,3.0,merc
 Fiesta,2016,7795,Manual,46891,Petrol,0,65.7,1.0,ford
 C Class,2017,19199,Automatic,45960,Hybrid,0,134.5,2.0,merc
 Fiesta,2017,8902,Manual,19043,Petrol,0,65.7,1.0,ford
 C Class,2018,39000,Semi-Auto,7011,Petrol,150,29.1,3.0,merc
 TT,2016,19472,Manual,21705,Petrol,165,45.6,2.0,audi
 Fiesta,2016,8000,Manual,40000,Petrol,0,65.7,1.0,ford
 EcoSport,2018,11795,Manual,32356,Diesel,145,64.2,1.5,ford
 I30,2018,10950,Manual,38687,Petrol,145,52.3,1.4,hyundi
 Focus,2013,6995,Automatic,35850,Petrol,165,44.1,1.6,ford
 Focus,2019,17450,Manual,6707,Petrol,145,60.1,1.0,ford
 A4,2017,22500,Automatic,22650,Diesel,150,57.6,2.0,audi
 Fabia,2016,6490,Manual,26115,Petrol,20,60.1,1.0,skoda
 Q3,2015,14498,Manual,55259,Diesel,125,60.1,2.0,audi
 TT,2017,16499,Semi-Auto,90778,Diesel,150,52.3,2.0,audi
 Fiesta,2018,12500,Manual,4583,Petrol,150,65.7,1.0,ford
 Fabia,2019,10995,Manual,14306,Petrol,145,61.4,1.0,skoda
 EcoSport,2017,9391,Manual,17895,Petrol,150,44.8,1.5,ford
 Fiesta,2014,5899,Manual,46314,Petrol,30,54.3,1.2,ford
 A4,2017,19401,Semi-Auto,25079,Diesel,150,67.3,2.0,audi
 X1,2016,17495,Manual,25000,Diesel,125,58.9,2.0,bmw
 Fiesta,2015,6695,Manual,38000,Petrol,125,54.3,1.2,ford
 Focus,2018,13289,Manual,22058,Petrol,145,57.7,1.0,ford
 Focus,2014,5500,Manual,75170,Petrol,30,56.5,1.0,ford
 Kodiaq,2020,25790,Manual,8054,Diesel,145,52.3,2.0,skoda
 C Class,2019,28999,Semi-Auto,6700,Diesel,145,56.5,2.0,merc
 A Class,2018,18990,Semi-Auto,5020,Petrol,145,53.3,1.3,merc
 Octavia,2016,11295,Semi-Auto,18004,Diesel,0,76.4,1.6,skoda
 X3,2016,23950,Automatic,20000,Diesel,145,54.3,2.0,bmw
 A Class,2020,44995,Semi-Auto,500,Petrol,145,32.8,2.0,merc
 A1,2017,11551,Manual,23078,Petrol,145,57.6,1.4,audi
 Kuga,2017,12000,Manual,21750,Petrol,160,45.6,1.5,ford
 A5,2020,29945,Semi-Auto,5000,Diesel,145,47.1,2.0,audi
 Kuga,2019,18990,Manual,14782,Petrol,145,35.3,1.5,ford
 M3,2004,16950,Manual,80000,Petrol,330,23.7,3.2,bmw
 Aygo,2018,7000,Manual,12199,Petrol,145,69.0,1.0,toyota
 Tucson,2016,18698,Automatic,14884,Diesel,235,43.5,2.0,hyundi
 Aygo,2019,12500,Manual,458,Petrol,145,57.7,1.0,toyota
 4 Series,2016,13699,Automatic,77784,Diesel,30,65.7,2.0,bmw
 A3,2015,9442,Manual,69431,Diesel,0,74.3,1.6,audi
 Fiesta,2018,11499,Manual,27851,Petrol,145,62.8,1.0,ford
 A5,2019,34256,Automatic,10897,Diesel,145,47.9,2.0,audi
 A4,2017,17698,Manual,18761,Petrol,145,51.4,1.4,audi
 Focus,2017,11998,Manual,9080,Petrol,20,61.4,1.0,ford
 C Class,2014,16300,Automatic,30819,Petrol,125,52.3,2.0,merc
 C Class,2017,18498,Semi-Auto,20618,Diesel,30,64.2,2.1,merc
 A3,2019,30995,Semi-Auto,4990,Petrol,145,34.5,2.0,audi
 A3,2014,11495,Automatic,60770,Diesel,30,64.2,2.0,audi
 Focus,2018,16900,Manual,21931,Petrol,150,41.5,2.0,ford
 Edge,2017,19050,Manual,22168,Diesel,145,48.7,2.0,ford
 Fiesta,2016,8950,Manual,10864,Petrol,125,54.3,1.2,ford
 A6,2019,30990,Semi-Auto,10852,Diesel,145,47.9,2.0,audi
 Tucson,2017,14295,Manual,17333,Diesel,145,61.7,1.7,hyundi
 GLC Class,2016,28798,Semi-Auto,18773,Diesel,145,56.5,2.1,merc
 C Class,2016,19328,Automatic,25042,Diesel,30,64.2,2.1,merc
 X5,2019,43716,Automatic,7329,Diesel,145,37.7,3.0,bmw
 5 Series,2015,13990,Automatic,37000,Diesel,30,62.8,2.0,bmw
 Fiesta,2016,9617,Manual,17897,Petrol,0,65.7,1.0,ford
 C-MAX,2019,15489,Manual,3916,Petrol,145,48.7,1.0,ford
 Grand C-MAX,2018,11995,Manual,21643,Petrol,145,47.9,1.0,ford
 CL Class,2019,26480,Semi-Auto,14789,Diesel,145,51.4,2.2,merc
 A Class,2018,20599,Semi-Auto,5394,Diesel,145,68.9,2.1,merc
 A1,2019,23286,Semi-Auto,6000,Petrol,145,40.9,2.0,audi
 Auris,2014,10999,Automatic,42015,Hybrid,0,74.3,1.8,toyota
 A Class,2020,25879,Semi-Auto,1000,Petrol,145,53.3,1.3,merc
 Q3,2019,29990,Semi-Auto,9500,Petrol,145,32.1,2.0,audi
 A8,2018,38572,Automatic,2249,Diesel,145,40.4,3.0,audi
 C Class,2019,24980,Automatic,15000,Diesel,145,60.1,1.6,merc
 Q3,2016,17470,Manual,29760,Diesel,150,52.3,2.0,audi
 Q3,2019,32950,Semi-Auto,1844,Petrol,145,31.7,2.0,audi
 Auris,2014,8250,Manual,11943,Petrol,150,47.9,1.6,toyota
 A Class,2017,14499,Manual,18233,Diesel,145,72.4,1.5,merc
 5 Series,2019,31550,Automatic,18733,Hybrid,140,141.3,2.0,bmw
 Grand C-MAX,2016,9799,Manual,37020,Diesel,30,64.2,1.5,ford
 E Class,2019,25481,Semi-Auto,9436,Diesel,145,72.4,2.0,merc
 Galaxy,2017,18979,Manual,36947,Diesel,125,56.5,2.0,ford
 Prius,2018,20950,Automatic,10549,Hybrid,135,94.1,1.8,toyota
 Fiesta,2016,8299,Manual,17795,Petrol,125,54.3,1.2,ford
 Kuga,2018,15795,Manual,16778,Diesel,145,64.2,1.5,ford
 E Class,2016,17691,Automatic,18895,Diesel,20,72.4,2.0,merc
 Grand C-MAX,2017,12950,Manual,14369,Diesel,150,64.2,1.5,ford
 2 Series,2019,21775,Semi-Auto,10570,Petrol,145,47.9,2.0,bmw
 X3,2019,35480,Semi-Auto,9000,Diesel,145,54.3,2.0,bmw
 RAV4,2019,27293,Automatic,19814,Hybrid,135,49.6,2.5,toyota
 Fabia,2019,12995,Manual,500,Petrol,145,57.7,1.0,skoda
 X1,2019,25999,Semi-Auto,2974,Diesel,145,60.1,2.0,bmw
 Focus,2019,24999,Manual,6746,Petrol,145,34.5,2.3,ford
 A3,2017,19500,Manual,7251,Petrol,30,60.1,1.4,audi
 1 Series,2017,13998,Manual,33094,Diesel,20,72.4,1.5,bmw
 S-MAX,2017,16599,Manual,42385,Diesel,145,56.5,2.0,ford
 A6,2016,19990,Automatic,42000,Diesel,145,54.3,3.0,audi
 E Class,2015,18498,Semi-Auto,40348,Diesel,145,54.3,3.0,merc
 Tucson,2017,13495,Manual,31903,Petrol,160,44.8,1.6,hyundi
 A4,2017,17750,Automatic,33112,Diesel,145,65.7,2.0,audi
 A4,2020,42900,Semi-Auto,2000,Diesel,145,39.8,3.0,audi
 1 Series,2018,13477,Manual,51000,Diesel,145,50.4,2.0,bmw
 Kuga,2017,13100,Manual,5688,Petrol,160,45.6,1.5,ford
 Fabia,2019,9990,Manual,3826,Petrol,145,57.7,1.0,skoda
 Fiesta,2018,10495,Manual,26460,Petrol,150,65.7,1.0,ford
 1 Series,2019,32990,Semi-Auto,3883,Petrol,145,34.5,2.0,bmw
 Fiesta,2017,8995,Manual,17953,Petrol,145,54.3,1.2,ford
 I800,2018,13992,Manual,39010,Diesel,145,37.7,2.5,hyundi
 X1,2017,17795,Automatic,40787,Diesel,125,57.6,2.0,bmw
